account_id,out_degree,in_degree,out_volume,in_volume,avg_out_amount,avg_in_amount,unique_receivers,unique_senders,fraud_out_ratio,fraud_in_ratio,pagerank,cycle_participation,flow_imbalance,tx_velocity_per_hour,burst_score,max_hourly_count,dormancy_ratio,activity_concentration,near_threshold_ratio,round_number_ratio,amount_variance_ratio,structuring_score,tx_count_1h_max,tx_count_6h_max,tx_count_24h_max,volume_1h_max,volume_6h_max,volume_24h_max,unique_counterparties_1h_max,unique_counterparties_6h_max,unique_counterparties_24h_max
ACC_0000,16,7,1683.94,768.38,105.24625,109.76857142857143,16,7,0.0,0.0,0.0010256977741484176,774,0.37334442486962005,0.013567587230737466,1.0,1,0.9864306784660767,0.0,0.0,0.0,0.6016721917843525,0.12033443835687051,1,1,3,270.37,270.37,511.38,1,1,3
ACC_0001,13,9,2571.14,1080.39,197.78,120.04333333333335,12,9,0.0,0.0,0.001431883276547157,711,0.4082535266027987,0.011811763442592145,1.909090909090909,2,0.9887218045112782,0.04329004329004334,0.0,0.0,0.6475774152757031,0.12951548305514063,2,2,3,441.1,441.1,499.47,2,2,3
ACC_0002,11,18,2987.21,2890.04,271.56454545454545,160.55777777777777,11,15,0.09090909090909091,0.2777777777777778,0.00296771446655111,915,0.016533242587916924,0.015611541774332473,2.586206896551724,3,0.9865374259558427,0.12689655172413794,0.0,0.0,0.5583675865657252,0.11167351731314504,3,3,3,1640.85,1640.85,1640.85,2,2,3
ACC_0003,21,11,4782.349999999999,2026.8299999999997,227.73095238095235,184.2572727272727,10,10,0.6666666666666666,0.18181818181818182,0.0019050953520719505,610,0.4046772151706891,0.016730130791282903,3.0,4,0.9874476987447699,0.2109375,0.0,0.0,0.40717068005983104,0.08143413601196621,5,6,6,1465.06,1465.06,1465.06,3,3,3
ACC_0004,6,7,592.12,506.78999999999996,98.68666666666667,72.39857142857143,6,7,0.0,0.0,0.0010903230730994753,365,0.07764967103695804,0.0073476770036549986,1.8461538461538463,2,0.9932165065008479,0.07051282051282055,0.0,0.0,0.5592821807111454,0.1118564361422291,2,2,2,256.66,256.66,256.66,2,2,2
ACC_0005,12,8,1202.3500000000001,692.26,100.19583333333334,86.5325,11,8,0.0,0.0,0.0011427486280746288,573,0.2692321902646496,0.014335376124431063,1.0,1,0.985663082437276,0.0,0.0,0.0,0.6368162114022432,0.12736324228044865,1,1,2,218.86,218.86,362.51,1,1,2
ACC_0006,16,16,2766.81,3023.4799999999996,172.925625,188.96749999999997,14,13,0.1875,0.25,0.0033655858977506593,1496,-0.044327658890928844,0.014911347380029666,1.875,2,0.9860205032618826,0.058333333333333334,0.0,0.0,0.5535548818140816,0.11071097636281634,3,3,3,1094.02,1094.02,1094.02,2,2,3
ACC_0007,17,11,2059.51,1023.1399999999999,121.14764705882354,93.01272727272726,17,11,0.0,0.0,0.0013517861215875252,1153,0.3361945079709466,0.017139359314425628,1.0,1,0.9828536436007348,0.0,0.0,0.0,0.5338054549193711,0.10676109098387424,1,2,3,491.36,491.36,572.65,1,2,3
ACC_0008,10,6,1155.6,531.26,115.55999999999999,88.54333333333334,10,6,0.0,0.0,0.0008912276264486833,478,0.37011963055398717,0.007778507012810229,1.0,1,0.9922178988326849,0.0,0.0,0.0,0.5389669101727327,0.10779338203454654,1,1,2,298.74,298.74,298.74,1,1,2
ACC_0009,6,14,322.04999999999995,2371.33,53.67499999999999,169.38071428571428,6,14,0.0,0.0,0.001782635264292408,572,-0.7608581039409186,0.012777103430652272,1.0,1,0.9872204472843451,0.0,0.0,0.0,0.6487473047381418,0.12974946094762838,1,1,2,541.42,541.42,731.26,1,1,2
ACC_0010,8,11,599.5699999999999,834.5500000000001,74.94624999999999,75.86818181818182,8,11,0.0,0.0,0.0014858380042411991,530,-0.16384960812091154,0.00813402591472116,1.0,1,0.99186295503212,0.0,0.0,0.0,0.5965397805157806,0.11930795610315613,2,3,3,225.11,269.63,269.63,2,3,3
ACC_0011,12,13,1726.7600000000002,2043.8899999999999,143.89666666666668,157.22230769230768,12,13,0.0,0.0,0.0023240125156063374,1124,-0.08410486255663045,0.011096480196481675,1.0,1,0.988898756660746,0.0,0.0,0.0,0.4579137600027911,0.09158275200055822,1,2,3,630.41,630.41,630.41,1,2,3
ACC_0012,4,6,518.8399999999999,792.9100000000001,129.70999999999998,132.15166666666667,4,5,0.0,0.0,0.0011889415953136996,155,-0.20893462931039516,0.005979907510763834,1.0,1,0.9940191387559809,0.0,0.0,0.0,0.6485224574687176,0.12970449149374352,1,1,2,250.79,250.79,332.59,1,1,2
