transaction_id,sender_id,receiver_id,transaction_amount,timestamp,transaction_type,label,transaction_type_encoded,transaction_amount_scaled,sender_prev_time,receiver_prev_time,sender_gap_minutes,receiver_gap_minutes,sender_gap_minutes_scaled,receiver_gap_minutes_scaled,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,sender_out_degree,sender_in_degree,sender_out_volume,sender_in_volume,sender_avg_out_amount,sender_avg_in_amount,sender_unique_receivers,sender_unique_senders,sender_fraud_out_ratio,sender_fraud_in_ratio,sender_pagerank,sender_cycle_participation,sender_flow_imbalance,sender_tx_velocity_per_hour,sender_burst_score,sender_max_hourly_count,sender_dormancy_ratio,sender_activity_concentration,sender_near_threshold_ratio,sender_round_number_ratio,sender_amount_variance_ratio,sender_structuring_score,sender_tx_count_1h_max,sender_tx_count_6h_max,sender_tx_count_24h_max,sender_volume_1h_max,sender_volume_6h_max,sender_volume_24h_max,sender_unique_counterparties_1h_max,sender_unique_counterparties_6h_max,sender_unique_counterparties_24h_max,receiver_out_degree,receiver_in_degree,receiver_out_volume,receiver_in_volume,receiver_avg_out_amount,receiver_avg_in_amount,receiver_unique_receivers,receiver_unique_senders,receiver_fraud_out_ratio,receiver_fraud_in_ratio,receiver_pagerank,receiver_cycle_participation,receiver_flow_imbalance,receiver_tx_velocity_per_hour,receiver_burst_score,receiver_max_hourly_count,receiver_dormancy_ratio,receiver_activity_concentration,receiver_near_threshold_ratio,receiver_round_number_ratio,receiver_amount_variance_ratio,receiver_structuring_score,receiver_tx_count_1h_max,receiver_tx_count_6h_max,receiver_tx_count_24h_max,receiver_volume_1h_max,receiver_volume_6h_max,receiver_volume_24h_max,receiver_unique_counterparties_1h_max,receiver_unique_counterparties_6h_max,receiver_unique_counterparties_24h_max
T0000000,ACC_0044,ACC_0386,191.03,2025-01-01 00:00:00,deposit,0,1,0.11208414858233376,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,15,11,1956.89,1285.8000000000002,130.45933333333335,116.8909090909091,15,11,0.0,0.0,0.0016376500237547016,1378,0.20695471969196264,0.012466536140967753,1.0,1,0.9875299760191847,0.0,0.0,0.0,0.5723490857428685,0.1144698171485737,1,1,2,458.99,458.99,458.99,1,1,2,18,13,1483.8799999999999,1585.91,82.43777777777777,121.99307692307693,18,12,0.0,0.0,0.00247214013444613,1068,-0.03323680121430712,0.015688656089475946,1.0,1,0.9843037974683544,0.0,0.0,0.0,0.6666041147124723,0.13332082294249445,1,2,3,242.7,242.7,323.84000000000003,1,2,3
T0000004,ACC_0045,ACC_0277,86.49,2025-01-01 00:20:00,deposit,0,1,-0.3212458621527074,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,6,11,714.51,1319.7600000000002,119.085,119.97818181818184,6,11,0.0,0.0,0.0014642803183453454,339,-0.2975268769617725,0.01026497730634919,1.0,1,0.9897342995169082,0.0,0.0,0.0,0.6289990285507172,0.12579980571014346,1,2,2,296.86,296.86,296.86,1,2,2,15,12,1659.67,1449.76,110.64466666666667,120.81333333333333,15,12,0.0,0.0,0.002114088357030628,788,0.0675075496149857,0.017405131290558255,1.0,1,0.9825918762088974,0.0,0.0,0.0,0.5552365105251529,0.11104730210503058,1,2,3,297.66,473.71000000000004,560.2,1,2,3
T0000001,ACC_0100,ACC_0047,69.9,2025-01-01 00:29:00,payment,0,2,-0.3900132705905716,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,0,2,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,11,10,893.83,882.03,81.25727272727273,88.203,11,10,0.0,0.0,0.0016478692708760646,902,0.006644667935498081,0.009829696605634134,1.0,1,0.9901685393258427,0.0,0.0,0.0,0.6048513572423843,0.12097027144847686,1,2,2,225.18,225.18,225.18,1,2,2,9,19,1174.14,2001.13,130.46,105.32263157894738,8,17,0.0,0.0,0.0028844377846283,579,-0.2604471430767763,0.013404932696067089,1.9285714285714286,2,0.9870689655172413,0.034391534391534334,0.0,0.0,0.6128206853996949,0.12256413707993899,2,2,3,255.78,330.12,417.94,2,2,3
T0000003,ACC_0321,ACC_0390,45.27,2025-01-01 01:15:00,cash_out,0,0,-0.4921073796818674,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,11,15,998.93,2134.18,90.81181818181818,142.27866666666665,11,15,0.0,0.0,0.002460676235756614,641,-0.36233965612326946,0.013318193848018918,1.0,1,0.9866803278688525,0.0,0.0,0.0,0.6602299964477044,0.1320459992895409,1,2,3,532.43,532.43,532.43,1,2,3,9,12,948.4,1339.4900000000002,105.37777777777778,111.62416666666668,9,11,0.0,0.0,0.002369182455862395,516,-0.170939162284153,0.011047786058746165,1.0,1,0.9889473684210527,0.0,0.0,0.0,0.579913098311235,0.11598261966224702,1,1,3,271.14,271.14,392.05999999999995,1,1,3
T0000012,ACC_0119,ACC_0341,95.02,2025-01-01 01:24:00,transfer,0,3,-0.28588805660870603,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,16,9,2182.77,1016.84,136.423125,112.98222222222222,16,9,0.0,0.0,0.0015003099745601448,935,0.36439753594855495,0.011538994107420342,1.0,1,0.9884579870729455,0.0,0.0,0.0,0.5712099013023515,0.1142419802604703,1,2,2,418.69,418.69,561.0799999999999,1,2,2,13,20,1791.1,3701.39,137.77692307692308,185.0695,11,18,0.23076923076923078,0.15,0.0026545713572849582,702,-0.34780036012746895,0.015856998702609197,1.878787878787879,2,0.9851033157135992,0.05669599217986315,0.0,0.0,0.5041117576963884,0.10082235153927768,2,3,5,1057.0300000000002,1057.0300000000002,1209.44,2,3,5
T0000008,ACC_0205,ACC_0162,222.11,2025-01-01 01:44:00,cash_out,0,0,0.2409142302127631,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,4,10,393.5,841.9399999999999,98.375,84.19399999999999,4,10,0.0,0.0,0.001534761217372237,168,-0.3629799909314658,0.005841933958327538,1.0,1,0.9941569282136895,0.0,0.0,0.0,0.5703929442460085,0.1140785888492017,1,1,2,248.65,248.65,281.57,1,1,2,14,9,1892.9399999999998,1198.24,135.20999999999998,133.13777777777779,13,9,0.0,0.0,0.001698619349970397,725,0.22473618488659752,0.012141154113475801,1.0,1,0.9878563885955649,0.0,0.0,0.0,0.5466910319401329,0.10933820638802659,1,2,3,458.99,713.1,852.4200000000001,1,2,3
T0000024,ACC_0302,ACC_0180,40.54,2025-01-01 02:24:00,transfer,0,3,-0.5117137595438987,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,8,8,1341.82,572.94,167.7275,71.6175,8,8,0.0,0.0,0.0013193395830850352,288,0.40155424178277405,0.012450392965527975,1.0,1,0.9875486381322958,0.0,0.0,0.0,0.5757204071170439,0.11514408142340878,1,2,2,450.61,450.61,450.61,1,2,2,16,7,2012.01,1756.48,125.750625,250.9257142857143,16,7,0.0,0.0,0.0011746112423798225,792,0.06780699962035773,0.010333363285110971,1.0,1,0.9896629213483146,0.0,0.0,0.0,0.5786153485765134,0.11572306971530269,1,2,3,729.18,729.18,729.18,1,2,3
T0000009,ACC_0231,ACC_0064,151.48,2025-01-01 02:24:00,transfer,0,3,-0.05185503187080266,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,17,5,1708.69,375.52,100.51117647058824,75.104,16,5,0.0,0.0,0.0006941981657362634,406,0.6396524342525962,0.015267175572519083,1.909090909090909,2,0.9854267869535045,0.04329004329004334,0.0,0.0,0.6211115217434393,0.12422230434868786,2,2,2,182.85,343.56,343.56,2,2,2,16,11,1884.22,1935.32,117.76375,175.93818181818182,15,11,0.0,0.0,0.001289984866688635,1257,-0.013378574383267651,0.02374182958642319,1.0,1,0.9762532981530343,0.0,0.0,0.0,0.656720748290016,0.1313441496580032,1,2,4,457.54,457.54,774.13,1,2,4
T0000007,ACC_0272,ACC_0077,65.03,2025-01-01 02:27:00,payment,0,2,-0.4101999661356228,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,10,11,978.09,770.8699999999999,97.809,70.0790909090909,10,11,0.0,0.0,0.0016663438155865096,486,0.11848184063604389,0.01584566822188966,1.0,1,0.9841509433962264,0.0,0.0,0.0,0.5821277226641226,0.11642554453282453,2,2,3,244.55,244.55,244.55,2,2,3,8,13,1167.1,2076.72,145.8875,159.7476923076923,7,12,0.25,0.15384615384615385,0.0019461417778795448,663,-0.28041629930057643,0.0109514745378217,1.8095238095238093,2,0.9900886802295253,0.0852130325814537,0.0,0.0,0.5294393496744649,0.10588786993489299,2,2,3,787.16,787.16,787.16,2,2,3
T0000037,ACC_0219,ACC_0424,102.07,2025-01-01 02:28:00,deposit,0,1,-0.2566650168566299,0.0,0.0,0.0,0.0,-0.7836659913141661,-0.7963016727014727,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,12,13,1259.98,1672.6699999999998,104.99833333333333,128.66692307692307,12,13,0.0,0.0,0.002181176301477666,452,-0.14072255468555492,0.01518341566118714,1.0,1,0.9848116646415553,0.0,0.0,0.0,0.5772076808941131,0.11544153617882263,1,2,3,308.5,308.5,469.71,1,2,3,17,27,3964.14,5249.379999999999,233.18470588235294,194.42148148148146,14,23,0.23529411764705882,0.2222222222222222,0.0056753511124906985,1427,-0.13949500299544632,0.020877487109733337,2.727272727272727,3,0.981015662078785,0.08522727272727267,0.0,0.0,0.48275096295544256,0.09655019259108852,3,3,3,1974.17,1974.17,1974.17,2,3,3
