case_id,category,sender_id,receiver_id,amount,timestamp,transaction_type,baseline_probability,graphsage_probability,tgn_probability,ensemble_probability,risk_classification
amount_01,amount,ACC_0001,ACC_0002,5.0,2025-01-15T10:30:00Z,transfer,0.0112,0.0,0.3059,0.0093,minimal
amount_02,amount,ACC_0001,ACC_0002,20.0,2025-01-15T10:30:00Z,transfer,0.0112,0.0,0.3112,0.0093,minimal
amount_03,amount,ACC_0001,ACC_0002,50.0,2025-01-15T10:30:00Z,transfer,0.0075,0.0,0.3219,0.0093,minimal
amount_04,amount,ACC_0001,ACC_0002,100.0,2025-01-15T10:30:00Z,transfer,0.004,0.0,0.3395,0.0093,minimal
amount_05,amount,ACC_0001,ACC_0002,200.0,2025-01-15T10:30:00Z,transfer,0.004,0.0,0.3757,0.0093,minimal
amount_06,amount,ACC_0001,ACC_0002,500.0,2025-01-15T10:30:00Z,transfer,0.0183,0.0,0.5739,0.0119,minimal
amount_07,amount,ACC_0001,ACC_0002,1000.0,2025-01-15T10:30:00Z,transfer,0.0296,0.0007,0.8213,0.0119,minimal
amount_08,amount,ACC_0001,ACC_0002,2500.0,2025-01-15T10:30:00Z,transfer,0.0296,0.9996,0.9932,0.8333,high
amount_09,amount,ACC_0001,ACC_0002,5000.0,2025-01-15T10:30:00Z,transfer,0.0296,1.0,1.0,0.8333,high
amount_10,amount,ACC_0001,ACC_0002,9900.0,2025-01-15T10:30:00Z,transfer,0.0296,1.0,1.0,0.8333,high
amount_11,amount,ACC_0001,ACC_0002,25000.0,2025-01-15T10:30:00Z,transfer,0.0296,1.0,1.0,0.8333,high
amount_12,amount,ACC_0001,ACC_0002,60000.0,2025-01-15T10:30:00Z,transfer,0.0296,1.0,1.0,0.8333,high
type_transfer,type,ACC_0001,ACC_0002,100.0,2025-01-15T10:30:00Z,transfer,0.004,0.0,0.3395,0.0093,minimal
type_payment,type,ACC_0001,ACC_0002,100.0,2025-01-15T10:30:00Z,payment,0.004,0.0,0.3647,0.0093,minimal
type_cash_out,type,ACC_0001,ACC_0002,100.0,2025-01-15T10:30:00Z,cash_out,0.004,0.0,0.4277,0.0119,minimal
type_deposit,type,ACC_0001,ACC_0002,100.0,2025-01-15T10:30:00Z,deposit,0.004,0.0,0.3911,0.0093,minimal
type_withdrawal,type,ACC_0001,ACC_0002,100.0,2025-01-15T10:30:00Z,withdrawal,0.004,0.0,0.3138,0.0093,minimal
hour_00,hour,ACC_0001,ACC_0002,100.0,2025-01-15T00:10:00Z,transfer,0.0079,0.0,0.3603,0.0093,minimal
hour_03,hour,ACC_0001,ACC_0002,100.0,2025-01-15T03:10:00Z,transfer,0.004,0.0,0.3574,0.0093,minimal
hour_06,hour,ACC_0001,ACC_0002,100.0,2025-01-15T06:10:00Z,transfer,0.004,0.0,0.349,0.0093,minimal
hour_09,hour,ACC_0001,ACC_0002,100.0,2025-01-15T09:10:00Z,transfer,0.004,0.0,0.3415,0.0093,minimal
hour_12,hour,ACC_0001,ACC_0002,100.0,2025-01-15T12:10:00Z,transfer,0.0114,0.0,0.3379,0.0093,minimal
hour_15,hour,ACC_0001,ACC_0002,100.0,2025-01-15T15:10:00Z,transfer,0.0114,0.0,0.3399,0.0093,minimal
hour_18,hour,ACC_0001,ACC_0002,100.0,2025-01-15T18:10:00Z,transfer,0.0114,0.0,0.3473,0.0093,minimal
hour_23,hour,ACC_0001,ACC_0002,100.0,2025-01-15T23:10:00Z,transfer,0.0114,0.0,0.3595,0.0093,minimal
known_pair_01,known_pair,ACC_0001,ACC_0002,620.0,2025-01-15T10:30:00Z,transfer,0.0183,0.0001,0.6549,0.0119,minimal
known_pair_02,known_pair,ACC_0002,ACC_0001,740.0,2025-01-15T10:30:00Z,transfer,0.0733,0.0,0.7245,0.0119,minimal
known_pair_03,known_pair,ACC_0010,ACC_0011,860.0,2025-01-15T10:30:00Z,transfer,0.0139,0.0,0.2893,0.0093,minimal
known_pair_04,known_pair,ACC_0011,ACC_0010,980.0,2025-01-15T10:30:00Z,transfer,0.0218,0.0,0.5427,0.0119,minimal
known_pair_05,known_pair,ACC_0100,ACC_0101,1100.0,2025-01-15T10:30:00Z,transfer,0.0332,0.0,0.8705,0.0119,minimal
known_pair_06,known_pair,ACC_0101,ACC_0100,1220.0,2025-01-15T10:30:00Z,transfer,0.0217,0.0,0.8969,0.0119,minimal
known_pair_07,known_pair,ACC_0200,ACC_0300,1340.0,2025-01-15T10:30:00Z,transfer,0.1923,0.9999,0.9199,0.902,critical
known_pair_08,known_pair,ACC_0300,ACC_0200,1460.0,2025-01-15T10:30:00Z,transfer,0.1759,0.9998,0.9396,0.902,critical
unknown_01,unknown,UNK_A_1,UNK_B_1,75.0,2025-01-16T01:22:00Z,transfer,0.0035,0.0,0.3701,0.0093,minimal
unknown_02,unknown,UNK_A_2,UNK_B_2,500.0,2025-01-17T02:22:00Z,transfer,0.007,0.0,0.5174,0.0119,minimal
unknown_03,unknown,UNK_A_3,UNK_B_3,9000.0,2025-01-18T03:22:00Z,transfer,0.0213,1.0,1.0,0.8333,high
unknown_04,unknown,UNK_A_4,ACC_0001,1500.0,2025-01-19T04:22:00Z,transfer,0.0256,0.0,0.8899,0.0119,minimal
unknown_05,unknown,ACC_0001,UNK_B_4,1800.0,2025-01-20T05:22:00Z,transfer,0.0148,0.0,0.9608,0.0119,minimal
unknown_06,unknown,UNK_A_5,UNK_B_5,25000.0,2025-01-21T06:22:00Z,transfer,0.0178,1.0,1.0,0.8333,high
unknown_07,unknown,UNK_A_6,UNK_A_6,3000.0,2025-01-22T07:22:00Z,transfer,0.0178,0.0005,0.998,0.0119,minimal
boundary_01,boundary,ACC_0001,ACC_0002,90.0,2025-01-21T14:01:00Z,transfer,0.0114,0.0,0.3193,0.0093,minimal
boundary_02,boundary,ACC_0001,ACC_0002,95.0,2025-01-22T14:02:00Z,transfer,0.0114,0.0,0.3371,0.0093,minimal
boundary_03,boundary,ACC_0001,ACC_0002,99.0,2025-01-23T14:03:00Z,transfer,0.0114,0.0,0.35,0.0093,minimal
boundary_04,boundary,ACC_0001,ACC_0002,100.0,2025-01-24T14:04:00Z,transfer,0.0114,0.0,0.3494,0.0093,minimal
boundary_05,boundary,ACC_0001,ACC_0002,101.0,2025-01-25T14:05:00Z,transfer,0.0114,0.0,0.324,0.0093,minimal
boundary_06,boundary,ACC_0001,ACC_0002,4900.0,2025-01-26T14:06:00Z,transfer,0.041,1.0,1.0,0.8333,high
boundary_07,boundary,ACC_0001,ACC_0002,5000.0,2025-01-27T14:07:00Z,transfer,0.041,1.0,1.0,0.8333,high
boundary_08,boundary,ACC_0001,ACC_0002,5100.0,2025-01-28T14:08:00Z,transfer,0.037,1.0,1.0,0.8333,high
boundary_09,boundary,ACC_0001,ACC_0002,9900.0,2025-01-29T14:09:00Z,transfer,0.037,1.0,1.0,0.8333,high
boundary_10,boundary,ACC_0001,ACC_0002,10000.0,2025-01-20T14:10:00Z,transfer,0.041,1.0,1.0,0.8333,high
