transaction_id,sender_id,receiver_id,transaction_amount,timestamp,transaction_type,label
T0000000,ACC_0044,ACC_0386,191.03,2025-01-01 00:00:00,deposit,0
T0000004,ACC_0045,ACC_0277,86.49,2025-01-01 00:20:00,deposit,0
T0000001,ACC_0100,ACC_0047,69.9,2025-01-01 00:29:00,payment,0
T0000002,ACC_0256,ACC_0064,167.71,2025-01-01 00:30:00,transfer,0
T0000006,ACC_0338,ACC_0389,120.59,2025-01-01 00:54:00,cash_out,0
T0000005,ACC_0082,ACC_0379,79.55,2025-01-01 01:05:00,withdrawal,0
T0000003,ACC_0321,ACC_0390,45.27,2025-01-01 01:15:00,cash_out,0
T0000012,ACC_0119,ACC_0341,95.02,2025-01-01 01:24:00,transfer,0
T0000008,ACC_0205,ACC_0162,222.11,2025-01-01 01:44:00,cash_out,0
T0000021,ACC_0011,ACC_0166,132.9,2025-01-01 02:06:00,payment,0
T0000009,ACC_0231,ACC_0064,151.48,2025-01-01 02:24:00,transfer,0
T0000024,ACC_0302,ACC_0180,40.54,2025-01-01 02:24:00,transfer,0
T0000007,ACC_0272,ACC_0077,65.03,2025-01-01 02:27:00,payment,0
T0000037,ACC_0219,ACC_0424,102.07,2025-01-01 02:28:00,deposit,0
T0000018,ACC_0426,ACC_0495,133.99,2025-01-01 03:00:00,transfer,0
T0000015,ACC_0219,ACC_0334,68.86,2025-01-01 04:00:00,payment,0
T0000010,ACC_0218,ACC_0469,139.01,2025-01-01 04:10:00,payment,0
T0000014,ACC_0277,ACC_0229,297.66,2025-01-01 04:12:00,transfer,0
T0000017,ACC_0015,ACC_0300,77.24,2025-01-01 04:15:00,transfer,0
T0000011,ACC_0416,ACC_0383,107.23,2025-01-01 04:24:00,transfer,0
T0000067,ACC_0227,ACC_0057,108.39,2025-01-01 04:28:00,transfer,0
T0000013,ACC_0397,ACC_0393,69.7,2025-01-01 04:33:00,payment,0
T0000020,ACC_0332,ACC_0497,53.01,2025-01-01 04:40:00,deposit,0
T0000016,ACC_0286,ACC_0317,169.81,2025-01-01 04:48:00,payment,0
T0000023,ACC_0223,ACC_0247,84.46,2025-01-01 04:59:00,transfer,0
T0000057,ACC_0073,ACC_0316,108.05,2025-01-01 05:42:00,transfer,0
T0000072,ACC_0416,ACC_0046,22.29,2025-01-01 06:00:00,withdrawal,0
T0000036,ACC_0270,ACC_0236,64.57,2025-01-01 06:00:00,transfer,0
T0000022,ACC_0357,ACC_0080,128.67,2025-01-01 06:14:00,transfer,0
T0000054,ACC_0065,ACC_0412,61.11,2025-01-01 06:18:00,withdrawal,0
T0000064,ACC_0419,ACC_0408,67.05,2025-01-01 06:24:00,transfer,0
T0000019,ACC_0146,ACC_0457,102.19,2025-01-01 06:39:00,payment,0
T0000104,ACC_0144,ACC_0328,174.8,2025-01-01 06:56:00,transfer,0
T0000033,ACC_0290,ACC_0493,75.36,2025-01-01 07:09:00,payment,0
T0000051,ACC_0006,ACC_0466,150.68,2025-01-01 07:39:00,transfer,0
T0000047,ACC_0373,ACC_0367,30.13,2025-01-01 07:50:00,withdrawal,0
T0000031,ACC_0020,ACC_0392,119.76,2025-01-01 08:16:00,transfer,0
T0000083,ACC_0475,ACC_0307,161.52,2025-01-01 08:18:00,payment,0
T0000066,ACC_0456,ACC_0460,80.88,2025-01-01 08:48:00,transfer,0
T0000028,ACC_0360,ACC_0152,28.31,2025-01-01 08:52:00,transfer,0
T0000041,ACC_0070,ACC_0277,176.05,2025-01-01 08:53:00,deposit,0
T0000034,ACC_0479,ACC_0075,176.0,2025-01-01 09:04:00,payment,0
T0000025,ACC_0454,ACC_0182,254.52,2025-01-01 09:10:00,transfer,0
T0000070,ACC_0021,ACC_0267,480.36,2025-01-01 09:20:00,transfer,0
T0000035,ACC_0137,ACC_0243,40.79,2025-01-01 09:20:00,withdrawal,0
T0000026,ACC_0389,ACC_0131,76.37,2025-01-01 09:32:00,cash_out,0
T0000146,ACC_0095,ACC_0157,139.59,2025-01-01 09:44:00,withdrawal,0
T0000084,ACC_0261,ACC_0467,59.46,2025-01-01 09:48:00,withdrawal,0
T0000030,ACC_0292,ACC_0069,103.9,2025-01-01 10:00:00,transfer,0
T0000032,ACC_0051,ACC_0338,42.89,2025-01-01 10:08:00,transfer,0
T0000089,ACC_0069,ACC_0465,293.17,2025-01-01 10:23:00,transfer,0
T0000063,ACC_0136,ACC_0226,37.43,2025-01-01 10:30:00,transfer,0
T0000029,ACC_0379,ACC_0009,91.6,2025-01-01 10:38:00,cash_out,0
T0000161,ACC_0131,ACC_0338,64.76,2025-01-01 10:44:00,transfer,0
T0000038,ACC_0070,ACC_0270,61.0,2025-01-01 11:24:00,transfer,0
T0000027,ACC_0048,ACC_0039,22.6,2025-01-01 12:09:00,cash_out,0
T0000183,ACC_0208,ACC_0115,39.33,2025-01-01 12:12:00,transfer,0
T0000082,ACC_0367,ACC_0088,77.28,2025-01-01 12:18:00,payment,0
T0000197,ACC_0173,ACC_0367,32.33,2025-01-01 13:08:00,transfer,0
T0000114,ACC_0286,ACC_0435,68.43,2025-01-01 13:18:00,withdrawal,0
T0000117,ACC_0064,ACC_0059,212.94,2025-01-01 13:39:00,transfer,0
T0000039,ACC_0140,ACC_0059,99.9,2025-01-01 13:39:00,payment,0
T0000208,ACC_0461,ACC_0257,110.2,2025-01-01 13:52:00,payment,0
T0000109,ACC_0425,ACC_0042,44.23,2025-01-01 14:32:00,payment,0
T0000055,ACC_0150,ACC_0485,262.41,2025-01-01 14:40:00,payment,0
T0000126,ACC_0247,ACC_0191,214.48,2025-01-01 14:42:00,transfer,0
T0000052,ACC_0060,ACC_0483,33.95,2025-01-01 14:44:00,payment,0
T0000112,ACC_0354,ACC_0229,58.73,2025-01-01 14:56:00,transfer,0
T0000062,ACC_0059,ACC_0187,22.06,2025-01-01 15:30:00,payment,0
T0000078,ACC_0252,ACC_0183,38.77,2025-01-01 15:36:00,transfer,0
T0000046,ACC_0386,ACC_0011,126.85,2025-01-01 16:06:00,transfer,0
T0000071,ACC_0320,ACC_0285,36.97,2025-01-01 16:34:00,transfer,0
T0000203,ACC_0090,ACC_0136,135.5,2025-01-01 16:55:00,payment,0
T0000259,ACC_0331,ACC_0365,285.39,2025-01-01 17:16:00,transfer,0
T0000265,ACC_0219,ACC_0342,89.92,2025-01-01 17:40:00,transfer,0
T0000133,ACC_0262,ACC_0377,184.61,2025-01-01 17:44:00,transfer,0
T0000119,ACC_0076,ACC_0204,36.82,2025-01-01 17:51:00,payment,0
T0000179,ACC_0468,ACC_0479,14.07,2025-01-01 17:54:00,transfer,0
T0000077,ACC_0238,ACC_0216,26.39,2025-01-01 17:58:00,transfer,0
T0000098,ACC_0412,ACC_0360,47.69,2025-01-01 17:58:00,cash_out,0
T0000040,ACC_0160,ACC_0053,41.59,2025-01-01 18:00:00,transfer,0
T0000181,ACC_0023,ACC_0025,208.37,2025-01-01 18:06:00,transfer,0
T0000273,ACC_0083,ACC_0284,129.54,2025-01-01 18:12:00,transfer,0
T0000058,ACC_0483,ACC_0003,71.53,2025-01-01 18:22:00,withdrawal,0
T0000092,ACC_0396,ACC_0182,122.33,2025-01-01 18:24:00,transfer,0
T0000227,ACC_0177,ACC_0476,243.7,2025-01-01 18:55:00,transfer,0
T0000190,ACC_0015,ACC_0407,200.62,2025-01-01 19:00:00,payment,0
T0000287,ACC_0026,ACC_0254,74.54,2025-01-01 19:08:00,cash_out,0
T0000069,ACC_0413,ACC_0158,50.54,2025-01-01 19:33:00,deposit,0
T0000042,ACC_0158,ACC_0480,79.42,2025-01-01 19:36:00,transfer,0
T0000048,ACC_0061,ACC_0015,66.25,2025-01-01 20:00:00,transfer,0
T0000043,ACC_0451,ACC_0127,62.55,2025-01-01 20:04:00,transfer,0
T0000045,ACC_0445,ACC_0421,255.9,2025-01-01 20:15:00,cash_out,0
T0000248,ACC_0140,ACC_0499,92.54,2025-01-01 20:40:00,cash_out,0
T0000209,ACC_0213,ACC_0203,65.26,2025-01-01 20:54:00,deposit,0
T0000090,ACC_0243,ACC_0328,172.61,2025-01-01 21:00:00,payment,0
T0000053,ACC_0208,ACC_0099,31.15,2025-01-01 21:12:00,payment,0
T0000049,ACC_0183,ACC_0299,44.0,2025-01-01 21:14:00,transfer,0
T0000075,ACC_0268,ACC_0412,11.55,2025-01-01 21:15:00,deposit,0
T0000044,ACC_0149,ACC_0217,318.39,2025-01-01 21:16:00,deposit,0
T0000214,ACC_0284,ACC_0473,49.29,2025-01-01 21:24:00,withdrawal,0
T0000215,ACC_0429,ACC_0399,391.47,2025-01-01 21:30:00,transfer,0
T0000068,ACC_0026,ACC_0414,101.94,2025-01-01 21:32:00,payment,0
T0000326,ACC_0459,ACC_0289,329.0,2025-01-01 21:44:00,transfer,0
T0000327,ACC_0281,ACC_0455,15.86,2025-01-01 21:48:00,payment,0
T0000080,ACC_0164,ACC_0384,127.89,2025-01-01 22:40:00,deposit,0
T0000228,ACC_0276,ACC_0110,46.23,2025-01-01 22:48:00,deposit,0
T0000081,ACC_0100,ACC_0402,51.52,2025-01-01 22:57:00,payment,0
T0000139,ACC_0042,ACC_0006,109.74,2025-01-01 23:10:00,deposit,0
T0000199,ACC_0296,ACC_0073,37.53,2025-01-01 23:13:00,transfer,0
T0000093,ACC_0043,ACC_0468,294.47,2025-01-01 23:15:00,transfer,0
T0000127,ACC_0027,ACC_0410,70.32,2025-01-01 23:17:00,transfer,0
T0000059,ACC_0215,ACC_0233,236.2,2025-01-01 23:36:00,transfer,0
T0000060,ACC_0414,ACC_0143,79.03,2025-01-02 00:00:00,transfer,0
T0000050,ACC_0388,ACC_0498,78.98,2025-01-02 00:10:00,cash_out,0
T0000122,ACC_0292,ACC_0326,210.84,2025-01-02 00:24:00,payment,0
T0000210,ACC_0341,ACC_0079,61.25,2025-01-02 00:30:00,withdrawal,0
T0000074,ACC_0289,ACC_0389,82.86,2025-01-02 00:40:00,payment,0
T0000299,ACC_0231,ACC_0013,19.56,2025-01-02 00:55:00,payment,0
T0000076,ACC_0391,ACC_0192,66.85,2025-01-02 01:20:00,transfer,0
T0000169,ACC_0033,ACC_0041,44.91,2025-01-02 01:21:00,transfer,0
T0000305,ACC_0467,ACC_0419,431.98,2025-01-02 01:25:00,transfer,0
T0000258,ACC_0129,ACC_0062,66.69,2025-01-02 01:48:00,payment,0
T0000389,ACC_0379,ACC_0040,147.5,2025-01-02 01:56:00,cash_out,0
T0000087,ACC_0282,ACC_0064,114.83,2025-01-02 02:06:00,cash_out,0
T0000056,ACC_0259,ACC_0143,109.29,2025-01-02 02:08:00,transfer,0
T0000131,ACC_0386,ACC_0224,25.82,2025-01-02 02:12:00,payment,0
T0000061,ACC_0381,ACC_0303,58.94,2025-01-02 02:26:00,payment,0
T0000162,ACC_0335,ACC_0304,326.6,2025-01-02 03:00:00,deposit,0
T0000065,ACC_0073,ACC_0178,73.98,2025-01-02 03:05:00,transfer,0
T0000086,ACC_0044,ACC_0126,115.54,2025-01-02 03:14:00,transfer,0
T0000182,ACC_0349,ACC_0447,75.4,2025-01-02 03:18:00,transfer,0
T0000412,ACC_0199,ACC_0315,93.43,2025-01-02 03:28:00,transfer,0
T0000129,ACC_0428,ACC_0352,50.62,2025-01-02 03:57:00,transfer,0
T0000120,ACC_0018,ACC_0459,218.07,2025-01-02 04:00:00,cash_out,0
T0000241,ACC_0015,ACC_0436,182.93,2025-01-02 04:07:00,withdrawal,0
T0000130,ACC_0333,ACC_0059,624.11,2025-01-02 04:10:00,withdrawal,0
T0000113,ACC_0187,ACC_0490,77.37,2025-01-02 04:15:00,payment,0
T0000244,ACC_0185,ACC_0234,35.52,2025-01-02 04:28:00,withdrawal,0
T0000290,ACC_0409,ACC_0226,252.33,2025-01-02 05:00:00,transfer,0
T0000220,ACC_0065,ACC_0383,19.11,2025-01-02 05:20:00,payment,0
T0000358,ACC_0177,ACC_0076,156.92,2025-01-02 05:50:00,transfer,0
T0000163,ACC_0389,ACC_0426,70.22,2025-01-02 05:53:00,payment,0
T0000229,ACC_0200,ACC_0271,70.15,2025-01-02 06:32:00,transfer,0
T0000108,ACC_0056,ACC_0062,96.9,2025-01-02 06:36:00,payment,0
T0000186,ACC_0114,ACC_0161,43.02,2025-01-02 07:00:00,cash_out,0
T0000470,ACC_0276,ACC_0491,53.88,2025-01-02 07:20:00,transfer,0
T0000472,ACC_0460,ACC_0290,123.31,2025-01-02 07:28:00,deposit,0
T0000317,ACC_0108,ACC_0096,40.41,2025-01-02 07:42:00,deposit,0
T0000274,ACC_0419,ACC_0067,36.9,2025-01-02 07:58:00,payment,0
T0000193,ACC_0427,ACC_0496,39.96,2025-01-02 08:10:00,withdrawal,0
T0000277,ACC_0315,ACC_0034,94.59,2025-01-02 08:19:00,payment,0
T0000219,ACC_0233,ACC_0251,112.49,2025-01-02 08:51:00,transfer,0
T0000073,ACC_0417,ACC_0421,61.73,2025-01-02 08:51:00,withdrawal,0
T0000116,ACC_0074,ACC_0078,428.72,2025-01-02 08:52:00,transfer,0
T0000395,ACC_0111,ACC_0097,67.2,2025-01-02 08:55:00,withdrawal,0
T0000153,ACC_0484,ACC_0374,32.3,2025-01-02 09:09:00,transfer,0
T0000286,ACC_0048,ACC_0456,40.82,2025-01-02 09:22:00,cash_out,0
T0000501,ACC_0139,ACC_0134,30.81,2025-01-02 09:24:00,payment,0
T0000402,ACC_0181,ACC_0497,79.65,2025-01-02 09:30:00,transfer,0
T0000506,ACC_0471,ACC_0416,96.57,2025-01-02 09:44:00,payment,0
T0000135,ACC_0324,ACC_0070,288.31,2025-01-02 09:45:00,transfer,0
T0000097,ACC_0294,ACC_0238,256.63,2025-01-02 09:57:00,transfer,0
T0000340,ACC_0172,ACC_0245,111.73,2025-01-02 10:00:00,withdrawal,0
T0000170,ACC_0480,ACC_0317,23.25,2025-01-02 10:00:00,cash_out,0
T0000085,ACC_0296,ACC_0202,40.01,2025-01-02 10:00:00,payment,0
T0000136,ACC_0377,ACC_0416,67.4,2025-01-02 10:00:00,cash_out,0
T0000157,ACC_0018,ACC_0118,39.35,2025-01-02 10:01:00,transfer,0
T0000293,ACC_0323,ACC_0375,66.19,2025-01-02 10:11:00,transfer,0
T0000172,ACC_0192,ACC_0117,59.25,2025-01-02 10:24:00,withdrawal,0
T0000516,ACC_0150,ACC_0352,162.3,2025-01-02 10:24:00,transfer,0
T0000174,ACC_0120,ACC_0426,605.52,2025-01-02 10:48:00,transfer,0
T0000349,ACC_0482,ACC_0098,193.96,2025-01-02 10:54:00,deposit,0
T0000088,ACC_0363,ACC_0381,17.28,2025-01-02 11:12:00,cash_out,0
T0000354,ACC_0056,ACC_0044,43.26,2025-01-02 11:24:00,payment,0
T0000430,ACC_0207,ACC_0472,79.5,2025-01-02 11:50:00,payment,0
T0000361,ACC_0173,ACC_0063,199.62,2025-01-02 12:06:00,transfer,0
T0000155,ACC_0488,ACC_0162,249.52,2025-01-02 12:10:00,payment,0
T0000121,ACC_0286,ACC_0047,71.7,2025-01-02 12:18:00,payment,0
